"","dataset","end.date","entity","entry.date","geojson","name","point","ListEntry","start.date","typology","documentation.url","geography","heritage.at.risk","organisation","Name.x","Grade.x","hyperlink.x","NGR.x","Easting.x","Northing.x","lat.x","lon.x","Name.y","hyperlink.y","NGR.y","Easting.y","Northing.y","lat.y","lon.y","Name.x.x","Grade.y","hyperlink.x.x","NGR.x.x","Easting.x.x","Northing.x.x","lat.x.x","lon.x.x","Name.y.y","hyperlink.y.y","NGR.y.y","Easting.y.y","Northing.y.y","lat.y.y","lon.y.y"
"15","heritage-at-risk",NA,7500014,"2024-09-26",NA,"Chester's Hill camps","POINT(-1.837921 55.605820)",1006513,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/28751",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","heritage-at-risk",NA,7500015,"2024-09-26",NA,"Buttony Wood camp, Horton Moor","POINT(-1.972060 55.574470)",1006531,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/27741",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","heritage-at-risk",NA,7500016,"2024-09-26",NA,"Hepburn Crags camp","POINT(-1.883881 55.515918)",1006547,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/31649",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","heritage-at-risk",NA,7500017,"2024-09-26",NA,"Newminster Abbey, Mitford Road","POINT(-1.704845 55.166239)",1006563,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/27631",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","heritage-at-risk",NA,7500018,"2024-09-26",NA,"Ellsnook round barrow, 175 metres north east of Heiferlaw Bridge","POINT(-1.713319 55.462400)",1006564,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/30082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","heritage-at-risk",NA,7500019,"2024-09-26",NA,"Bondgate Tower, Bondgate Within","POINT(-1.703736 55.412625)",1006597,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/49777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","heritage-at-risk",NA,7500020,"2024-09-26",NA,"Roman villa","POINT(-1.254282 52.129847)",1006616,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/36362",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","heritage-at-risk",NA,7500021,"2024-09-26",NA,"Mabel Barrow","POINT(-4.562406 50.342127)",1006683,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/44058",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","heritage-at-risk",NA,7500022,"2024-09-26",NA,"Hut cluster Chirgwidden Vean","POINT(-5.617329 50.122890)",1006715,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34832",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","heritage-at-risk",NA,7500023,"2021-05-27",NA,"Bartine Castle","POINT(-5.645262 50.106718)",1006716,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/39715",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","heritage-at-risk",NA,7500024,"2024-09-26",NA,"Caer Bran","POINT(-5.626966 50.104646)",1006717,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","heritage-at-risk",NA,7500025,"2024-09-26",NA,"Treryn Dinas fort","POINT(-5.636224 50.042722)",1006733,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","heritage-at-risk",NA,7500026,"2024-09-26",NA,"Low Throston deserted medieval village","POINT(-1.240271 54.692447)",1006765,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/27396",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","heritage-at-risk",NA,7500027,"2024-09-26",NA,"All Saints' Church, remains of","POINT(0.494034 52.213826)",1006898,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26791",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","heritage-at-risk",NA,7500028,"2024-09-26",NA,"Former Infirmary Stables, Arborfield Garrison","POINT(-0.896831 51.382006)",1006949,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/47822",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","heritage-at-risk",NA,7500029,"2024-09-26",NA,"Air photographic site south west of Elford","POINT(-1.728633 52.689368)",1006100,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34632",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","heritage-at-risk",NA,7500030,"2024-09-26",NA,"Cynwit Castle","POINT(-3.078550 51.158550)",1006225,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34714",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","heritage-at-risk",NA,7500031,"2024-09-26",NA,"Canal aqueduct over River Tern","POINT(-2.567699 52.737020)",1006275,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/36253",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","heritage-at-risk",NA,7500032,"2024-09-26",NA,"Castle mound at Fitzharris","POINT(-1.282799 51.674773)",1006311,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/28998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","heritage-at-risk",NA,7500033,"2024-09-26",NA,"Ruins of Hampton Gay Manor House","POINT(-1.295722 51.844526)",1006334,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/47999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","heritage-at-risk",NA,7500034,"2024-09-26",NA,"Margidunum Roman Station","POINT(-0.957804 52.967618)",1006395,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/35462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","heritage-at-risk",NA,7500035,"2024-09-26",NA,"Enclosed settlement, 620 metres south east of Cornhill Castle","POINT(-2.224110 55.655240)",1006409,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/28760",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","heritage-at-risk",NA,7500036,"2024-09-26",NA,"Capheaton tilery, Mirlaw House","POINT(-1.959700 55.127918)",1006418,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/46430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","heritage-at-risk",NA,7500037,"2021-05-27",NA,"Romano-British settlements east of Yeavering Bell containing the Old Sheepfold settlement and settlements to the west and south of it","POINT(-2.100702 55.556543)",1006427,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/28307",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","heritage-at-risk",NA,7500038,"2021-05-27",NA,"Settlement on north east slope of Yeavering Bell","POINT(-2.103006 55.559686)",1006459,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/28304",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","heritage-at-risk",NA,7500039,"2024-09-26",NA,"Kyloe camp","POINT(-1.919309 55.643496)",1006479,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/27523",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","heritage-at-risk",NA,7500040,"2024-09-26",NA,"Camp in Oakwood, south east of Plenmeller village","POINT(-2.435674 54.958360)",1006484,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/27521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","heritage-at-risk",NA,7500041,"2024-09-26",NA,"Earthwork 370 yards (340 metres) east of Low Stead","POINT(-1.948917 55.649560)",1006529,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/27518",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","heritage-at-risk",NA,7500042,"2024-09-26",NA,"Two incised rocks on Broom Ridge, Hunter's Moor","POINT(-2.048473 55.626928)",1006554,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/28411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","heritage-at-risk",NA,7500043,"2024-09-26",NA,"Haggerston dovecote","POINT(-1.945584 55.685778)",1006570,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/30084",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","heritage-at-risk",NA,7500044,"2024-09-26",NA,"Cocklaw Tower, East Cocklaw","POINT(-2.096628 55.034847)",1006602,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/49429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","heritage-at-risk",NA,7500045,"2024-09-26",NA,"Corbridge (Corstopitum) Roman station","POINT(-2.033092 54.980544)",1006611,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/28180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","heritage-at-risk",NA,7500046,"2021-05-27",NA,"Romano-British settlement and pottery kilns west of Ecton North Lodge","POINT(-0.795959 52.279091)",1006636,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/38125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","heritage-at-risk",NA,7500047,"2021-12-01",NA,"Innis Downs earthwork","POINT(-4.773670 50.431526)",1006684,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/40832",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","heritage-at-risk",NA,7500048,"2024-09-26",NA,"Carn Brea Castle","POINT(-5.244948 50.221846)",1006704,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/41284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","heritage-at-risk",NA,7500049,"2024-09-26",NA,"Bank Quay transporter bridge, Warrington","POINT(-2.607599 53.383865)",1006768,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/46484",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","heritage-at-risk",NA,7500050,"2021-05-27",NA,"Roman settlement","POINT(0.255921 52.244559)",1006793,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","heritage-at-risk",NA,7500051,"2024-09-26",NA,"Great Gransden Windmill","POINT(-0.133356 52.183172)",1006820,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/408424",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","heritage-at-risk",NA,7500052,"2024-09-26",NA,"Site revealed by aerial photography east of Lolham Hall","POINT(-0.351470 52.658371)",1006827,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26829",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","heritage-at-risk",NA,7500053,"2024-09-26",NA,"Settlement site west of Town's End Farm","POINT(0.038883 52.182366)",1006879,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/29576",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","heritage-at-risk",NA,7500054,"2022-12-21",NA,"Roman town of Magiovinium and Roman fort","POINT(-0.704620 51.992799)",1006943,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/30999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","heritage-at-risk",NA,7500055,"2024-09-26",NA,"Manor House","POINT(-1.845679 52.772053)",1006119,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/46969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","heritage-at-risk",NA,7500056,"2024-09-26",NA,"Northover House, late Roman cemetery","POINT(-2.683150 51.004086)",1006128,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/45652",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","heritage-at-risk",NA,7500057,"2024-09-26",NA,"Curdon Wood Camp","POINT(-3.284919 51.138834)",1006158,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/41634",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","heritage-at-risk",NA,7500058,"2024-09-26",NA,"Lake villages north west of Oxenpill","POINT(-2.795533 51.176044)",1006160,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/41074",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","heritage-at-risk",NA,7500059,"2024-09-26",NA,"Camp south of Manor Farm","POINT(-3.299018 51.035521)",1006167,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/44179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","heritage-at-risk",NA,7500060,"2024-09-26",NA,"Low Ham Roman villa","POINT(-2.805417 51.056429)",1006192,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/42060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","heritage-at-risk",NA,7500061,"2024-09-26",NA,"Roman villa at Linley Hall","POINT(-2.964747 52.528171)",1006253,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/36209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","heritage-at-risk",NA,7500062,"2024-09-26",NA,"Offa's Dyke: section 200yds (180m) long, S of The Royal Oak Inn","POINT(-3.101120 52.820632)",1006260,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/36207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","heritage-at-risk",NA,7500063,"2024-09-26",NA,"Ludlow town walls","POINT(-2.719531 52.366574)",1006278,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/47957",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
