"ListEntry","dataset","end.date","entity","entry.date","name","point","start.date","typology","url","geography","heritage.at.risk","organisation","Name","hyperlink","NGR","Easting","Northing","grade","lat","lon","Grade"
1000124,"heritage-at-risk",NA,7500379,"2024-09-26","Crewe Hall","POINT(-2.399744 53.084148)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26104",NA,NA,NA,"CREWE HALL","https://historicengland.org.uk/listing/the-list/list-entry/1000124","SJ7337054317",373275,353572,NA,53.0786987456967,-2.40039146076917,"II"
1000129,"heritage-at-risk",NA,7500337,"2024-09-26","Stoke Park","POINT(-2.552928 51.490522)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26148",NA,NA,NA,"STOKE PARK","https://historicengland.org.uk/listing/the-list/list-entry/1000129","ST 61723 77175",361723,177175,NA,51.4922154359786,-2.55272410750127,"II"
1000137,"heritage-at-risk",NA,7500380,"2024-09-26","Thwaite Hall","POINT(-0.401842 53.780615)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26152",NA,NA,NA,"THWAITE HALL","https://historicengland.org.uk/listing/the-list/list-entry/1000137","TA 05392 32798",505392,432798,NA,53.7808516468271,-0.402032283920403,"II"
1000155,"heritage-at-risk",NA,7500395,"2024-09-26","Shrubland Hall","POINT(1.103647 52.133384)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24684",NA,NA,NA,"SHRUBLAND HALL","https://historicengland.org.uk/listing/the-list/list-entry/1000155","TM1181653099",612274,252889,NA,52.1335079247918,1.10019451049204,"I"
1000165,"heritage-at-risk",NA,7500351,"2024-09-26","Bramshill Park","POINT(-0.910021 51.332322)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24706",NA,NA,NA,"Bramshill Park","https://historicengland.org.uk/listing/the-list/list-entry/1000165","SU7626960141",476801,159656,NA,51.3308237770926,-0.899040425813335,"I"
1000194,"heritage-at-risk",NA,7501977,"2024-09-26","Wanstead Park","POINT(0.032099 51.567394)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24710",NA,NA,NA,"WANSTEAD PARK","https://historicengland.org.uk/listing/the-list/list-entry/1000194","TQ4104087270",540989,187461,NA,51.5684015546444,0.0328577527522428,"II*"
1000205,"heritage-at-risk",NA,7500396,"2024-09-26","The Royal Pavilion Gardens, Brighton","POINT(-0.137804 50.822766)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/25151",NA,NA,NA,"THE ROYAL PAVILION, BRIGHTON","https://historicengland.org.uk/listing/the-list/list-entry/1000205","TQ 31244 04227",531244,104227,NA,50.8227193147721,-0.138065486832619,"II"
1000215,"heritage-at-risk",NA,7500352,"2024-09-26","Embley Park","POINT(-1.539065 50.984474)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26117",NA,NA,NA,"EMBLEY PARK","https://historicengland.org.uk/listing/the-list/list-entry/1000215","SU 32390 20704",432390,120710,NA,50.9848884861012,-1.53994005533874,"II"
1000000,"heritage-at-risk",NA,7500659,"2024-09-26","Battle of Adwalton Moor","POINT(-1.675013 53.756361)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24508",NA,NA,NA,"Battle of Adwalton Moor 1643","https://historicengland.org.uk/listing/the-list/list-entry/1000000","SE2164428855",421360,429026,NA,53.7571605557066,-1.67751079186108,NA
1000003,"heritage-at-risk",NA,7500377,"2024-09-26","Battle of Boroughbridge","POINT(-1.390626 54.098949)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24509",NA,NA,NA,"Battle of Boroughbridge 1322","https://historicengland.org.uk/listing/the-list/list-entry/1000003","SE 39851 67186",439851,467186,NA,54.0990324637578,-1.39210862568694,NA
1000025,"heritage-at-risk",NA,7500660,"2024-09-26","Battle of Newburn Ford","POINT(-1.745530 54.978350)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24542",NA,NA,NA,"Battle of Newburn Ford 1640","https://historicengland.org.uk/listing/the-list/list-entry/1000025","NZ 16383 63953",416383,563953,NA,54.9699312703893,-1.74561991663417,NA
1021635,"heritage-at-risk",NA,7501659,"2024-09-26","Courtfield House, Polebarn Road","POINT(-2.202634 51.319415)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/327822",NA,NA,NA,"COURTFIELD HOUSE","https://historicengland.org.uk/listing/the-list/list-entry/1021635","ST 85975 57832",385975,157832,NA,51.3194185932372,-2.20263758792334,"II*"
