url,Heritage.Category,List.Entry.Number,Local.Planning.Authority,Site.Type,Unitary.Authority,Parish,Parliamentary.Constituency,Region,Assessment.Type,Condition,Principal.Vunerability,Trend,Ownership,Building.Name,Street.Name,Locality,County,District...Borough,Occupancy...Use,Priority,Previous.Priority,Designation,List.Entry.Number.s.,National.Park,Vulnerability,ListEntry,dataset,end.date,entity,entry.date,name,point,start.date,typology,geography,heritage.at.risk,organisation,Name,hyperlink,NGR,Easting,Northing,grade,lat,lon,Grade
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24703, Registered Park and Garden grade II*,1000414, Wokingham (UA), Gardens parks and urban spaces > Landscape park, Wokingham (UA), Barkham / Winnersh / Arborfield and Newland, Wokingham, London and South East, Park and garden, Generally satisfactory but with significant localised problems,NA, Stable," Mixed, multiple owners",NA,NA,NA,NA,NA,NA,NA,NA," Registered Park and Garden grade II*, 5 LBs ",NA,NA, Medium,1000414,heritage-at-risk,NA,7500357,2024-09-26,Bearwood College,POINT(-0.885554 51.411530),NA,geography,NA,NA,NA,BEARWOOD COLLEGE,https://historicengland.org.uk/listing/the-list/list-entry/1000414,SU 77598 68769,477599,168772,NA,51.4126681041145,-0.8856013487391,II*
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24704, Registered Park and Garden grade II*,1000319, Buckinghamshire (UA), Gardens parks and urban spaces > Landscape park, Buckinghamshire (UA), Mentmore / Cheddington, Aylesbury / Harpenden and Berkhamsted, London and South East, Park and garden, Generally satisfactory but with significant localised problems,NA, Declining," Mixed, multiple owners",NA,NA,NA,NA,NA,NA,NA,NA," Registered Park and Garden grade II*, 10 LBs, 2 CAs ",NA,NA, High,1000319,heritage-at-risk,NA,7501978,2024-09-26,Mentmore Towers,POINT(-0.688670 51.864208),NA,geography,NA,NA,NA,MENTMORE TOWERS,https://historicengland.org.uk/listing/the-list/list-entry/1000319,SP 90480 19125,490480,219126,NA,51.8633893932337,-0.687433507801915,II*
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24705, Registered Park and Garden grade II*,1000395, Enfield, Gardens parks and urban spaces > Landscape park,NA,NA, Edmonton and Winchmore Hill / Southgate and Wood Green, London and South East, Park and garden, Generally satisfactory but with significant localised problems,NA, Declining," Mixed, multiple owners",NA,NA,NA, Greater London, Enfield,NA,NA,NA," Registered Park and Garden grade II*, 5 LBs, part in CA ",NA,NA, Medium,1000395,heritage-at-risk,NA,7500663,2024-09-26,Grovelands Park,POINT(-0.115004 51.632795),NA,geography,NA,NA,NA,GROVELANDS PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000395,TQ 30527 94308,530527,194308,NA,51.6324483925138,-0.115455739025551,II*
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24706, Registered Park and Garden grade I,1000165, Hart, Gardens parks and urban spaces > Landscape park,NA, Mattingley / Bramshill / Eversley, North East Hampshire, London and South East, Park and garden, Extensive significant problems,NA, Stable," Mixed, multiple owners",NA,NA,NA, Hampshire, Hart,NA,NA,NA," Registered Park and Garden grade I, 8 LBs, part in SM, part in CA ",NA,NA, Medium,1000165,heritage-at-risk,NA,7500351,2024-09-26,Bramshill Park,POINT(-0.910021 51.332322),NA,geography,NA,NA,NA,Bramshill Park,https://historicengland.org.uk/listing/the-list/list-entry/1000165,SU7626960141,476801,159656,NA,51.3308237770926,-0.899040425813335,I
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24707, Registered Park and Garden grade II*,1000365, Sevenoaks, Gardens parks and urban spaces > Landscape park,NA, Brasted / Sundridge with Ide Hill, Sevenoaks, London and South East, Park and garden, Extensive significant problems,NA, Declining," Mixed, multiple owners",NA,NA,NA, Kent, Sevenoaks,NA,NA,NA," Registered Park and Garden grade II*, 17 LBs, 2 CAs ",NA,NA, High,1000365,heritage-at-risk,NA,7500355,2024-09-26,Combe Bank,POINT(0.117845 51.282288),NA,geography,NA,NA,NA,COMBE BANK,https://historicengland.org.uk/listing/the-list/list-entry/1000365,TQ 47874 55791,547874,155791,NA,51.28207236046,0.118919876034285,II*
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24708, Registered Park and Garden grade II*,1000390, South Oxfordshire, Gardens parks and urban spaces > Landscape park, Wokingham (UA) / Buckinghamshire (UA), Henley-on-Thames / Remenham / Bix and Assendon / Fawley, Wycombe / Henley and Thame, London and South East, Park and garden, Generally satisfactory but with significant localised problems,NA, Stable," Private, multiple owners",NA,NA,NA, Oxfordshire, South Oxfordshire,NA,NA,NA," Registered Park and Garden grade II*, 18 LBs, 2 CAs ",NA,NA, Medium,1000390,heritage-at-risk,NA,7500401,2024-09-26,Fawley Court and Temple Island,POINT(-0.898861 51.550219),NA,geography,NA,NA,NA,FAWLEY COURT AND TEMPLE ISLAND,https://historicengland.org.uk/listing/the-list/list-entry/1000390,"SU 76497 84011, SU7711984813",476498,184016,NA,51.5498585244205,-0.898132323045586,II*
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24710, Registered Park and Garden grade II*,1000194, Redbridge, Gardens parks and urban spaces > Park,NA,NA, Leyton and Wanstead, London and South East, Park and garden, Extensive significant problems,NA, Stable," Local authority, multiple owners",NA,NA,NA, Greater London, Redbridge / Waltham Forest,NA,NA,NA," Registered Park and Garden grade II*, 7 LBs, 2 CAs ",NA,NA, High,1000194,heritage-at-risk,NA,7501977,2024-09-26,Wanstead Park,POINT(0.032099 51.567394),NA,geography,NA,NA,NA,WANSTEAD PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000194,TQ4104087270,540989,187461,NA,51.5684015546444,0.0328577527522428,II*
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24713, Registered Park and Garden grade II*,1000404, South Derbyshire, Gardens parks and urban spaces > Landscape park,NA, Elvaston, South Derbyshire, Midlands, Park and garden, Generally unsatisfactory with major localised problems,NA, Declining," Mixed, multiple owners",NA,NA,NA, Derbyshire, South Derbyshire,NA,NA,NA," Registered Park and Garden grade II*, 19 LBs ",NA,NA, High,1000404,heritage-at-risk,NA,7500665,2024-09-26,Elvaston Castle,POINT(-1.393404 52.891663),NA,geography,NA,NA,NA,ELVASTON CASTLE,https://historicengland.org.uk/listing/the-list/list-entry/1000404,SK 41482 32897,441482,332897,NA,52.8919304909787,-1.38488196376231,II*
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24715, Registered Park and Garden grade II*,1000373, Bromley, Gardens parks and urban spaces > Park,NA,NA, Beckenham and Penge, London and South East, Park and garden, Generally satisfactory but with significant localised problems,NA, Stable," Mixed, multiple owners",NA,NA,NA, Greater London, Bromley,NA,NA,NA," Registered Park and Garden grade II*, 11 LBs, part in CA ",NA,NA, Medium,1000373,heritage-at-risk,NA,7500400,2024-09-26,Crystal Palace Park,POINT(-0.069914 51.421390),NA,geography,NA,NA,NA,CRYSTAL PALACE PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000373,TQ 34298 70925,534298,170925,NA,51.4214351609089,-0.0699096170025986,II*
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24719, Registered Park and Garden grade II*,1000367, Bassetlaw, Gardens parks and urban spaces > Garden,NA, Shireoaks, Bassetlaw / Rother Valley, Midlands, Park and garden, Extensive significant problems,NA, Declining," Private, multiple owners",NA,NA,NA, Nottinghamshire, Bassetlaw,NA,NA,NA," Registered Park and Garden grade II*, 4 LBs, part in SM, 2 CAs ",NA,NA, High,1000367,heritage-at-risk,NA,7501980,2024-09-26,Shireoaks Hall,POINT(-1.183763 53.316224),NA,geography,NA,NA,NA,SHIREOAKS HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000367,SK 54567 80255,454567,380255,NA,53.3164231414938,-1.18238348516523,II*
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24941, Registered Park and Garden grade II*,1000394, South Gloucestershire (UA), Gardens parks and urban spaces > Landscape park, South Gloucestershire (UA), Falfield / Tortworth / Cromhall, Thornbury and Yate, South West, Park and garden, Generally satisfactory but with significant localised problems,NA, Stable," Mixed, multiple owners",NA,NA,NA,NA,NA,NA,NA,NA," Registered Park and Garden grade II*, 7 LBs, part in SM ",NA,NA, Medium,1000394,heritage-at-risk,NA,7501981,2024-09-26,Tortworth Court,POINT(-2.444529 51.627755),NA,geography,NA,NA,NA,TORTWORTH COURT,https://historicengland.org.uk/listing/the-list/list-entry/1000394,ST 69376 91740,369376,191740,NA,51.6236387714965,-2.4437695997191,II*
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/25151, Registered Park and Garden grade II,1000205," Brighton and Hove, City of (UA)", Gardens parks and urban spaces > Garden," Brighton and Hove, City of (UA)",NA, Brighton Pavilion, London and South East, Park and garden, Extensive significant problems,NA, Stable," Local authority, multiple owners",NA,NA,NA,NA,NA,NA,NA,NA," Registered Park and Garden grade II, 3 LBs, CA ",NA,NA, High,1000205,heritage-at-risk,NA,7500396,2024-09-26,"The Royal Pavilion Gardens, Brighton",POINT(-0.137804 50.822766),NA,geography,NA,NA,NA,"THE ROYAL PAVILION, BRIGHTON",https://historicengland.org.uk/listing/the-list/list-entry/1000205,TQ 31244 04227,531244,104227,NA,50.8227193147721,-0.138065486832619,II
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/25271, Registered Park and Garden grade II,1000577, Central Bedfordshire (UA), Gardens parks and urban spaces > Landscape park, Central Bedfordshire (UA), Old Warden / Northill, North Bedfordshire, East of England, Park and garden, Generally unsatisfactory with major localised problems,NA, Declining," Mixed, multiple owners",NA,NA,NA,NA,NA,NA,NA,NA," Registered Park and Garden grade II, 9 LBs, SM, 3 CAs ",NA,NA, Medium,1000577,heritage-at-risk,NA,7505034,2024-09-26,Ickwell Bury,POINT(-0.330828 52.100135),NA,geography,NA,NA,NA,ICKWELL BURY,https://historicengland.org.uk/listing/the-list/list-entry/1000577,TL 13947 45918,513947,245918,NA,52.0998743484984,-0.337889578401332,II
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/25282, Registered Park and Garden grade II,1000517, Enfield, Gardens parks and urban spaces > Park,NA,NA, Southgate and Wood Green, London and South East, Park and garden, Generally satisfactory but with significant localised problems,NA, Declining, Local authority,NA,NA,NA, Greater London, Enfield,NA,NA,NA," Registered Park and Garden grade II, 4 LBs, part in CA ",NA,NA, Medium,1000517,heritage-at-risk,NA,7501982,2024-09-26,Broomfield Park,POINT(-0.118080 51.618575),NA,geography,NA,NA,NA,BROOMFIELD HOUSE,https://historicengland.org.uk/listing/the-list/list-entry/1000517,TQ 30412 92729,530412,192729,NA,51.6182854903069,-0.117703742227021,II
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26093, Registered Park and Garden grade II,1000379, Charnwood, Gardens parks and urban spaces > Landscape park,NA,NA, Loughborough, Midlands, Park and garden, Generally satisfactory but with significant localised problems,NA, Declining, Private,NA,NA, Garendon, Leicestershire, Charnwood,NA,NA,NA," Registered Park and Garden grade II, 13 LBs, SM ",NA,NA, High,1000379,heritage-at-risk,NA,7500662,2024-09-26,Garendon Park,POINT(-1.260305 52.769181),NA,geography,NA,NA,NA,GARENDON,https://historicengland.org.uk/listing/the-list/list-entry/1000379,SK 49973 19319,449973,319319,NA,52.7691620542288,-1.26076158070539,II
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26104, Registered Park and Garden grade II,1000124, Cheshire East (UA), Gardens parks and urban spaces > Landscape park, Cheshire East (UA), Crewe Green / Weston, Crewe and Nantwich, North West, Park and garden, Generally unsatisfactory with major localised problems,NA, Declining," Mixed, multiple owners",NA,NA,NA,NA,NA,NA,NA,NA," Registered Park and Garden grade II, 8 LBs ",NA,NA, High,1000124,heritage-at-risk,NA,7500379,2024-09-26,Crewe Hall,POINT(-2.399744 53.084148),NA,geography,NA,NA,NA,CREWE HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000124,SJ7337054317,373275,353572,NA,53.0786987456967,-2.40039146076917,II
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26108, Registered Park and Garden grade II,1000601, Buckinghamshire (UA), Gardens parks and urban spaces > Landscape park, Buckinghamshire (UA), Aston Clinton / Halton, Mid Buckinghamshire / Aylesbury, London and South East, Park and garden, Extensive significant problems,NA, Stable," Mixed, multiple owners",NA,NA,NA,NA,NA,NA,NA,NA," Registered Park and Garden grade II, 5 LBs, part in CA ",NA,NA, High,1000601,heritage-at-risk,NA,7501985,2024-09-26,Halton House,POINT(-0.723757 51.782097),NA,geography,NA,NA,NA,HALTON HOUSE,https://historicengland.org.uk/listing/the-list/list-entry/1000601,SP 88158 10020,488158,210020,NA,51.7819092555758,-0.723460310390312,II
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26109, Registered Park and Garden grade II,1000257, Tunbridge Wells, Gardens parks and urban spaces > Landscape park,NA, Frant / Lamberhurst, Tunbridge Wells / Sussex Weald, London and South East, Park and garden, Generally unsatisfactory with major localised problems,NA, Stable," Mixed, multiple owners",NA,NA,NA, Kent / East Sussex, Tunbridge Wells / Wealden,NA,NA,NA," Registered Park and Garden grade II, 8 LBs, SM ",NA,NA, Medium,1000257,heritage-at-risk,NA,7500397,2024-09-26,Bayham Abbey,POINT(0.341535 51.105489),NA,geography,NA,NA,NA,BAYHAM ABBEY,https://historicengland.org.uk/listing/the-list/list-entry/1000257,TQ 64079 36608,564080,136609,NA,51.1053004469047,0.342334316538788,II
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26114, Registered Park and Garden grade II,1000305, Wealden, Gardens parks and urban spaces > Landscape park,NA, Forest Row, East Grinstead and Uckfield, London and South East, Park and garden, Generally satisfactory but with significant localised problems,NA, Stable," Mixed, multiple owners",NA,NA,NA, East Sussex, Wealden,NA,NA,NA," Registered Park and Garden grade II, 2 LBs ",NA,NA, Medium,1000305,heritage-at-risk,NA,7500398,2024-09-26,Kidbrooke Park,POINT(0.024091 51.089268),NA,geography,NA,NA,NA,KIDBROOKE PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000305,TQ 41836 34124,541839,134123,NA,51.0888903179394,0.0238979472162883,II
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26117, Registered Park and Garden grade II,1000215, Test Valley, Gardens parks and urban spaces > Landscape park,NA, Wellow, Romsey and Southampton North, London and South East, Park and garden, Extensive significant problems,NA, Stable," Mixed, multiple owners",NA,NA,NA, Hampshire, Test Valley,NA,NA,NA," Registered Park and Garden grade II, 8 LBs ",NA,NA, High,1000215,heritage-at-risk,NA,7500352,2024-09-26,Embley Park,POINT(-1.539065 50.984474),NA,geography,NA,NA,NA,EMBLEY PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000215,SU 32390 20704,432390,120710,NA,50.9848884861012,-1.53994005533874,II
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26118, Registered Park and Garden grade II,1000484, Enfield, Gardens parks and urban spaces > Landscape park,NA,NA, Southgate and Wood Green, London and South East, Park and garden, Generally satisfactory but with significant localised problems,NA, Improving," Mixed, multiple owners",NA,NA,NA, Greater London, Enfield,NA,NA,NA," Registered Park and Garden grade II, 19 LBs, SM, part in CA ",NA,NA, Medium,1000484,heritage-at-risk,NA,7500667,2024-09-26,Trent Park,POINT(-0.140819 51.661538),NA,geography,NA,NA,NA,TRENT PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000484,TQ 28735 97589,528735,197589,NA,51.6623456205991,-0.140126632852789,II
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26123, Registered Park and Garden grade II,1000530, West Berkshire (UA), Gardens parks and urban spaces > Landscape park, West Berkshire (UA), Aldermaston, Reading West and Mid Berkshire, London and South East, Park and garden, Generally unsatisfactory with major localised problems,NA, Declining," Mixed, multiple owners",NA,NA,NA,NA,NA,NA,NA,NA," Registered Park and Garden grade II, 12 LBs, part in CA ",NA,NA, High,1000530,heritage-at-risk,NA,7500358,2024-09-26,Aldermaston Court,POINT(-1.145050 51.378327),NA,geography,NA,NA,NA,ALDERMASTON COURT,https://historicengland.org.uk/listing/the-list/list-entry/1000530,SU5964064639,459736,164757,NA,51.3787306341853,-1.14309047679271,II
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26124, Registered Park and Garden grade II,1000333, West Berkshire (UA), Gardens parks and urban spaces > Landscape park, West Berkshire (UA), Greenham / Newtown, Newbury / North West Hampshire, London and South East, Park and garden, Extensive significant problems,NA, Declining," Mixed, multiple owners",NA,NA,NA, Hampshire, Basingstoke and Deane,NA,NA,NA," Registered Park and Garden grade II, 2 LBs ",NA,NA, High,1000333,heritage-at-risk,NA,7500354,2024-09-26,Sandleford Priory,POINT(-1.313978 51.377723),NA,geography,NA,NA,NA,SANDLEFORD PRIORY,https://historicengland.org.uk/listing/the-list/list-entry/1000333,"SU4783664509, SU4743264564",447871,164518,NA,51.3777039832398,-1.31358621071533,II
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26133, Registered Park and Garden grade II,1000420, Somerset Council (UA), Gardens parks and urban spaces > Landscape park, Somerset Council (UA), Shepton Montague / Bruton, Glastonbury and Somerton, South West, Park and garden, Generally unsatisfactory with major localised problems,NA, Stable," Private, multiple owners",NA,NA,NA,NA,NA,NA,NA,NA," Registered Park and Garden grade II, 10 LBs ",NA,NA, Medium,1000420,heritage-at-risk,NA,7500666,2024-09-26,Redlynch Park,POINT(-2.432065 51.090618),NA,geography,NA,NA,NA,REDLYNCH PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000420,ST6901232274,369841,132385,NA,51.0899778969351,-2.43200053480294,II
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26139, Registered Park and Garden grade II,1000342, Runnymede, Gardens parks and urban spaces > Landscape park,NA,NA, Runnymede and Weybridge, London and South East, Park and garden, Extensive significant problems,NA, Declining," Mixed, multiple owners",NA,NA, Addlestone, Surrey, Runnymede,NA,NA,NA," Registered Park and Garden grade II, 5 LBs ",NA,NA, High,1000342,heritage-at-risk,NA,7501979,2024-09-26,"Woburn Farm, Addlestone",POINT(-0.480312 51.378838),NA,geography,NA,NA,NA,WOBURN FARM,https://historicengland.org.uk/listing/the-list/list-entry/1000342,TQ0549865709,505768,165535,NA,51.3790236142892,-0.481658437249015,II
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26147, Registered Park and Garden grade II,1000544, Cornwall (UA), Gardens parks and urban spaces > Landscape park, Cornwall (UA), Mylor, Truro and Falmouth, South West, Park and garden, Extensive significant problems,NA, Stable," Private, multiple owners",NA,NA,NA,NA,NA,NA,NA,NA," Registered Park and Garden grade II, 5 LBs, WHS ",NA,NA, High,1000544,heritage-at-risk,NA,7501984,2024-09-26,Carclew,POINT(-5.099377 50.202567),NA,geography,NA,NA,NA,CARCLEW,https://historicengland.org.uk/listing/the-list/list-entry/1000544,SW7823138354,178849,38209,NA,50.2024881988882,-5.10037390973826,II
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26148, Registered Park and Garden grade II,1000129, South Gloucestershire (UA), Gardens parks and urban spaces > Landscape park," South Gloucestershire (UA) / Bristol, City of (UA)", Stoke Gifford, Bristol North East / Filton and Bradley Stoke, South West, Park and garden, Generally satisfactory but with significant localised problems,NA, Improving," Mixed, multiple owners",NA,NA,NA,NA,NA,NA,NA,NA," Registered Park and Garden grade II, 10 LBs, SM, part in CA ",NA,NA, Medium,1000129,heritage-at-risk,NA,7500337,2024-09-26,Stoke Park,POINT(-2.552928 51.490522),NA,geography,NA,NA,NA,STOKE PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000129,ST 61723 77175,361723,177175,NA,51.4922154359786,-2.55272410750127,II
