"ListEntry","dataset","end.date","entity","entry.date","name","point","start.date","typology","url","geography","heritage.at.risk","organisation","Name","hyperlink","NGR","Easting","Northing","Grade","lat","lon"
1002080,"heritage-at-risk",NA,7502113,"2024-09-26","Gunns Mill Furnace","POINT(-2.472923 51.841183)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/46843",NA,NA,NA,"Gunns Mills furnace","https://historicengland.org.uk/listing/the-list/list-entry/1002080","SO 67516 15945",367516,215945,NA,51.8411564123858,-2.47290393622728
1002082,"heritage-at-risk",NA,7505042,"2024-09-26","Tower of the former Church of St Michael, Eastgate Street, Gloucester","POINT(-2.245819 51.865197)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/48383",NA,NA,NA,"Tower of St Michael's Church","https://historicengland.org.uk/listing/the-list/list-entry/1002082","SO8317018540",383170,218541,NA,51.8651911160751,-2.24581951896487
1002091,"heritage-at-risk",NA,7502114,"2024-09-26","Llanthony Priory, remains of precinct wall north of Inner Gatehouse, Llanthony Road, Gloucester","POINT(-2.256931 51.860077)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/49980",NA,NA,NA,"Llanthony Secunda Priory","https://historicengland.org.uk/listing/the-list/list-entry/1002091","SO 82406 17968",382406,217968,NA,51.8600156511035,-2.2568852362977
1002092,"heritage-at-risk",NA,7500736,"2024-09-26","Over earthwork","POINT(-2.272072 51.876274)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/40704",NA,NA,NA,"Over earthwork","https://historicengland.org.uk/listing/the-list/list-entry/1002092","SO 81364 19763",381364,219763,NA,51.8761200854556,-2.27211325912293
1002102,"heritage-at-risk",NA,7505139,"2024-09-26","Portion of remains of Roman wall known as King's Bastion, underneath King's Walk","POINT(-2.245724 51.863407)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/39696",NA,NA,NA,"Remains of Roman wall","https://historicengland.org.uk/listing/the-list/list-entry/1002102","SO 83147 18229, SO 83017 18300, SO 83331 18452, SO 83216 18314",383017,218300,NA,51.8630196607873,-2.24802951350066
1002103,"heritage-at-risk",NA,7505140,"2024-09-26","St Oswald's Priory, Priory Road, Gloucester","POINT(-2.248004 51.869335)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/49275",NA,NA,NA,"St Oswald's Priory (St Catherine's Church)","https://historicengland.org.uk/listing/the-list/list-entry/1002103","SO 83026 18996",383026,218996,NA,51.8692775438791,-2.2479332564595
1002126,"heritage-at-risk",NA,7500534,"2024-09-26","Wickham Bishops timber trestle railway viaduct","POINT(0.642610 51.775028)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/3118359",NA,NA,NA,"Wickham Bishops timber trestle railway viaduct","https://historicengland.org.uk/listing/the-list/list-entry/1002126","TL 82411 11760",582411,211760,NA,51.7747815981251,0.642586514434195
1002134,"heritage-at-risk",NA,7500412,"2024-09-26","Crop mark complex, Orsett","POINT(0.343589 51.505251)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/29562",NA,NA,NA,"Crop mark complex, Orsett","https://historicengland.org.uk/listing/the-list/list-entry/1002134","TQ 62954 81111, TQ 63121 81258, TQ 62684 81178, TQ 62349 81000, TQ 62561 81006",562954,181111,NA,51.5054399334108,0.346574861653019
1002144,"heritage-at-risk",NA,7500535,"2024-09-26","Ruins of Church of St Mary, North of Birch Hall","POINT(0.830282 51.851433)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/46122",NA,NA,NA,"Remains of St Mary's Church","https://historicengland.org.uk/listing/the-list/list-entry/1002144","TL 95035 20777",595035,220777,NA,51.8515019599694,0.830406361696476
1002146,"heritage-at-risk",NA,7500536,"2024-09-26","Crop mark site south of Ardleigh","POINT(0.990384 51.918312)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26395",NA,NA,NA,"Crop mark site S of Ardleigh","https://historicengland.org.uk/listing/the-list/list-entry/1002146","TM 05834 28780, TM 05657 28361",605834,228780,NA,51.9194837928032,0.991748690261808
1002161,"heritage-at-risk",NA,7500537,"2024-09-26","Site of Waltham Hall","POINT(0.276200 51.895386)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/29848",NA,NA,NA,"Site of Waltham Hall","https://historicengland.org.uk/listing/the-list/list-entry/1002161","TL 56717 24318",556717,224318,NA,51.8953790956122,0.276185555221511
1002193,"heritage-at-risk",NA,7500538,"2024-09-26","St Osyth's Priory","POINT(1.075115 51.799701)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/49527",NA,NA,NA,"Remains of St Osyth's Priory including the ruinous sections of a mid-C16 mansion","https://historicengland.org.uk/listing/the-list/list-entry/1002193","TM1213615689",612136,215724,NA,51.7999050201855,1.07524016515815
1002217,"heritage-at-risk",NA,7505039,"2024-09-26","Colchester Castle","POINT(0.903780 51.891377)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/29734",NA,NA,NA,"Colchester Castle and the Temple of Claudius","https://historicengland.org.uk/listing/the-list/list-entry/1002217","TL9990925391",599909,225390,NA,51.8912009358675,0.903746093677683
1002242,"heritage-at-risk",NA,7500737,"2024-09-26","Newhaven Fort; Caponier, Fort Road","POINT(0.054217 50.783076)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/49358",NA,NA,NA,"Newhaven military fort and lunette battery","https://historicengland.org.uk/listing/the-list/list-entry/1002242","TQ 44902 00198, TQ 45025 00096",544902,100198,NA,50.7832578383434,0.0541249420773421
1002250,"heritage-at-risk",NA,7502115,"2024-09-26","Romano-British iron working site in Beauport Park","POINT(0.539933 50.902606)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/29039",NA,NA,NA,"Romano-British iron working site in Beauport Park","https://historicengland.org.uk/listing/the-list/list-entry/1002250","TQ 78692 14529",578692,114529,NA,50.9025832338789,0.5399795654085
1002254,"heritage-at-risk",NA,7500413,"2024-09-26","Round barrow south of Ditchling Beacon","POINT(-0.109768 50.896425)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/28932",NA,NA,NA,"Round barrow S of Ditchling Beacon","https://historicengland.org.uk/listing/the-list/list-entry/1002254","TQ3302512474",533025,112474,NA,50.896433706526,-0.109800005736872
1002271,"heritage-at-risk",NA,7500414,"2024-09-26","Remains of Manor House, Ore Place, Ore","POINT(0.586053 50.879622)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/46617",NA,NA,NA,"Manor house (remains of), Ore Place","https://historicengland.org.uk/listing/the-list/list-entry/1002271","TQ 82018 12088",582018,112088,NA,50.8796170696113,0.586015586471535
1002280,"heritage-at-risk",NA,7500539,"2024-09-26","High Rocks Camp (see also Tunbridge Wells, Kent)","POINT(0.229660 51.122013)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/31269",NA,NA,NA,"Prehistoric rock shelters and a multivallate hillfort at High Rocks, 309m ESE of High Rocks Inn","https://historicengland.org.uk/listing/the-list/list-entry/1002280","TQ 56129 38250",556129,138250,NA,51.1222641710793,0.229566640449777
1002296,"heritage-at-risk",NA,7500540,"2024-09-26","Austin Friars Chapel, Conduit Hill","POINT(0.734587 50.951816)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/49263",NA,NA,NA,"Austin Friars Chapel","https://historicengland.org.uk/listing/the-list/list-entry/1002296","TQ 92168 20492",592168,120492,NA,50.9518194557268,0.734550279649218
1002301,"heritage-at-risk",NA,7500415,"2024-09-26","Ruins of the former friary church [Grey Friars (Winchelsea Priory)], Friars Road, Winchelsea","POINT(0.710163 50.921657)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/46628",NA,NA,NA,"Grey Friars, Winchelsea","https://historicengland.org.uk/listing/the-list/list-entry/1002301","TQ9058217071",590582,117070,NA,50.9216083502062,0.710208943771652
1002303,"heritage-at-risk",NA,7500416,"2022-12-21","Earthworks and lynchets near Eastwick Barn, Patcham","POINT(-0.127317 50.872357)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/29052",NA,NA,NA,"Earthworks and lynchets near Eastwick Barn, Patcham","https://historicengland.org.uk/listing/the-list/list-entry/1002303","TQ 31849 09770",531849,109770,NA,50.8724006592911,-0.127487351962197
1002314,"heritage-at-risk",NA,7502116,"2024-09-26","Enclosures and industrial workings on Cockfield Fell","POINT(-1.811462 54.619182)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/30297",NA,NA,NA,"Enclosures and industrial workings on Cockfield Fell","https://historicengland.org.uk/listing/the-list/list-entry/1002314","NZ 12419 25002",412419,525002,NA,54.620015246736,-1.8091927074807
