"reference","ID","Name","Grade","Listing.date","Amendment.date","Capture.scale","NHLE.link","National.Grid.Reference","Easting","Northing","dataset","end.date","entity","entry.date","geojson","geometry","name","organisation.entity","point","prefix","start.date","typology","categories","documentation.url","geography","heritage.at.risk","legislation","notes","organisation"
"1025151","3666","RAVENSWORTH CASTLE","II*","11/18/1985 12:00:00 AM","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1025151","NZ 23217 59094",423217,559094,"heritage-at-risk",NA,7504967,"2024-09-26",NA,"MULTIPOLYGON (((-1.639254 54.925999,-1.639274 54.926019,-1.639293 54.925999,-1.639254 54.925999)))","Ravensworth Castle (Nash House)",16,"POINT(-1.639274 54.926006)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/49328",NA,NA,NA,NA,NA
"1025199","3713","CHRIST CHURCH","II","1/18/1949 12:00:00 AM","2/26/1985 12:00:00 AM","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1025199","NZ 32628 65285",432628,565285,"heritage-at-risk",NA,7504968,"2024-09-26",NA,"MULTIPOLYGON (((-1.491715 54.981107,-1.491734 54.981126,-1.491754 54.981107,-1.491715 54.981107)))","Christ Church, Grange Road West, Jarrow",16,"POINT(-1.491734 54.981113)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/19339",NA,NA,NA,NA,NA
"1025273","3787","THE CARRIAGE WORKS","II*","11/01/1966 00:00","12/30/1994 12:00:00 AM","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1025273","ST 59139 74029",359139,174029,"heritage-at-risk",NA,7504812,"2021-12-01",NA,"MULTIPOLYGON (((-2.589560 51.463740,-2.589578 51.463759,-2.589596 51.463740,-2.589560 51.463740)))","Carriage Works, 104, Stokes Croft, Bristol",16,"POINT(-2.589578 51.463746)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/46788",NA,NA,NA,NA,NA
"1025279","3793","PART OF FORMER HOUSE OF DETENTION, BELOW KINGSWAY COLLEGE CLERKENWELL CENTRE","II","12/29/1950 12:00:00 AM","9/30/1994 12:00:00 AM","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1025279","TQ 31490 82308",531490,182308,"heritage-at-risk",NA,7505128,"2024-09-26",NA,"MULTIPOLYGON (((-0.105995 51.524383,-0.106012 51.524402,-0.106031 51.524383,-0.105995 51.524383)))","Part of Former House of Detention, below Kingsway College Clerkenwell Centre, Sans Walk",16,"POINT(-0.106013 51.524389)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/358930",NA,NA,NA,NA,NA
"1025280","3794","THE WINTER GARDENS","II*","10/07/1977 00:00","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1025280","SD 43098 64383",343098,464383,"heritage-at-risk",NA,7505018,"2024-09-26",NA,"MULTIPOLYGON (((-2.871038 54.072224,-2.871057 54.072243,-2.871076 54.072224,-2.871038 54.072224)))","The Winter Gardens, 207-214 Marine Road Central",16,"POINT(-2.871057 54.072230)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/46545",NA,NA,NA,NA,NA
"1025382","3893","CHURCH OF HOLY TRINITY","II","12/19/1949 12:00:00 AM","7/15/1985 12:00:00 AM","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1025382","NZ 29692 58524",429692,558524,"heritage-at-risk",NA,7504969,"2024-09-26",NA,"MULTIPOLYGON (((-1.538284 54.920536,-1.538303 54.920555,-1.538323 54.920536,-1.538284 54.920536)))","Church of Holy Trinity, Usworth",16,"POINT(-1.538303 54.920542)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/11855",NA,NA,NA,NA,NA
"1025839","4349","CASTLE GORING","I","10/11/1949 00:00","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1025839","TQ 10268 05644",510268,105644,"heritage-at-risk",NA,7505019,"2024-09-26",NA,"MULTIPOLYGON (((-0.435273 50.839811,-0.435290 50.839831,-0.435309 50.839812,-0.435273 50.839811)))","Castle Goring, Arundel Road",16,"POINT(-0.435291 50.839818)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/46777",NA,NA,NA,NA,NA
"1026825","5334","BELL TOWER OF THE CATHEDRAL","I","07/05/1950 00:00","","0.909722222","https://historicengland.org.uk/listing/the-list/list-entry/1026825","SU 85912 04830",485912,104830,"heritage-at-risk",NA,7505020,"2024-09-26",NA,"MULTIPOLYGON (((-0.781285 50.836616,-0.781302 50.836635,-0.781320 50.836616,-0.781285 50.836616)))","Bell Tower of the Cathedral",16,"POINT(-0.781302 50.836622)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/54314",NA,NA,NA,NA,NA
"1027214","5722","THE PARISH CHURCH OF ST PETER","II*","3/15/1955 12:00:00 AM","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1027214","TQ 19282 11134",519282,111134,"heritage-at-risk",NA,7504921,"2024-09-26",NA,"MULTIPOLYGON (((-0.305517 50.887375,-0.305535 50.887395,-0.305553 50.887376,-0.305517 50.887375)))","Church of St Peter",16,"POINT(-0.305535 50.887382)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/21137",NA,NA,NA,NA,NA
"1027834","6340","GATEHOUSE, FLANKING WALLS AND BOLLARDS TO MAER HALL","II*","5/14/1985 12:00:00 AM","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1027834","SJ 79242 38292",379242,338292,"heritage-at-risk",NA,7505021,"2024-09-26",NA,"MULTIPOLYGON (((-2.310313 52.941623,-2.310332 52.941642,-2.310350 52.941622,-2.310313 52.941623)))","Gatehouse, walls and bollards to Maer Hall",16,"POINT(-2.310332 52.941629)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/46979",NA,NA,NA,NA,NA
"1027914","6418","CHURCH OF ST NICHOLAS","I","3/26/1949 12:00:00 AM","10/07/1974 00:00","0.909722222","https://historicengland.org.uk/listing/the-list/list-entry/1027914","TQ 01639 07253",501639,107254,"heritage-at-risk",NA,7504963,"2024-09-26",NA,"MULTIPOLYGON (((-0.557334 50.855857,-0.557351 50.855877,-0.557369 50.855857,-0.557334 50.855857)))","Church of St Nicholas, London Road",16,"POINT(-0.557351 50.855864)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/12847",NA,NA,NA,NA,NA
"1028844","7344","CHURCH OF ST JOHN THE BAPTIST","II*","11/11/1966 00:00","11/11/1986 00:00","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1028844","TQ 12787 38036",512787,138036,"heritage-at-risk",NA,7504974,"2024-09-26",NA,"MULTIPOLYGON (((-0.389464 51.130495,-0.389481 51.130514,-0.389499 51.130495,-0.389464 51.130495)))","Church of St John the Baptist, Church Lane, Okewood Hill",16,"POINT(-0.389481 51.130501)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/11705",NA,NA,NA,NA,NA
"1029301","7799","CHURCH OF ST LUKE","II","3/15/1988 12:00:00 AM","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1029301","TQ 01294 52458",501294,152458,"heritage-at-risk",NA,7504972,"2024-09-26",NA,"MULTIPOLYGON (((-0.549593 51.262281,-0.549611 51.262301,-0.549629 51.262282,-0.549593 51.262281)))","Church of St Luke, Burpham Lane, Burpham",16,"POINT(-0.549611 51.262288)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/11586",NA,NA,NA,NA,NA
"1030448","8943","WALPOLE OLD CHAPEL","II*","12/07/1966 00:00","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1030448","TM 37352 75161",637352,275161,"heritage-at-risk",NA,7505187,"2024-09-26",NA,"MULTIPOLYGON (((1.481592 52.323195,1.481576 52.323215,1.481556 52.323196,1.481592 52.323195)))","Congregational Chapel, Halesworth Road",16,"POINT(1.481575 52.323202)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/56928",NA,NA,NA,NA,NA
"1030531","9026","CHURCH OF ST MARY","I","12/07/1966 00:00","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1030531","TM3095160507",630951,260507,"heritage-at-risk",NA,7504975,"2021-12-01",NA,"MULTIPOLYGON (((1.377820 52.194406,1.377804 52.194426,1.377784 52.194407,1.377820 52.194406)))","Church of St Mary, Hall Road",16,"POINT(1.377803 52.194413)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/20425",NA,NA,NA,NA,NA
"1030808","9303","CHURCH OF ST JOHN THE BAPTIST","I","12/07/1966 00:00","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1030808","TM 30564 68318",630564,268318,"heritage-at-risk",NA,7505141,"2024-09-26",NA,"MULTIPOLYGON (((1.377496 52.264671,1.377479 52.264691,1.377459 52.264672,1.377496 52.264671)))","Church of St John the Baptist, Low Street",16,"POINT(1.377478 52.264678)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/15032",NA,NA,NA,NA,NA
"1030939","9434","CHURCH OF ST PETER","I","6/18/1959 12:00:00 AM","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1030939","SJ 62458 12051",362458,312051,"heritage-at-risk",NA,7504973,"2024-09-26",NA,"MULTIPOLYGON (((-2.557026 52.704823,-2.557045 52.704843,-2.557063 52.704823,-2.557026 52.704823)))","Church of St Peter",16,"POINT(-2.557045 52.704830)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/18829",NA,NA,NA,NA,NA
"1031410","9903","THE GARDEN HOUSE, GREAT SAXHAM HALL","II*","7/14/1955 12:00:00 AM","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1031410","TL7952062328",579520,262328,"heritage-at-risk",NA,7505022,"2024-09-26",NA,"MULTIPOLYGON (((0.627255 52.229890,0.627238 52.229910,0.627219 52.229891,0.627255 52.229890)))","The Umbrello, Great Saxham Hall, Chevington Road, Great Saxham",16,"POINT(0.627237 52.229897)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/46109",NA,NA,NA,NA,NA
"1031774","10260","CHURCH OF ST MARY","I","12/19/1961 12:00:00 AM","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1031774","TL 80513 46549",580513,246549,"heritage-at-risk",NA,7501488,"2021-12-01",NA,"MULTIPOLYGON (((0.633391 52.087856,0.633374 52.087876,0.633354 52.087857,0.633391 52.087856)))","Church of St Mary",16,"POINT(0.633373 52.087863)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/10730",NA,NA,NA,NA,NA
"1031858","10343","Hyde Vale Fountain and cattle trough ","II","8/21/2002 12:00:00 AM","","0.909722222","https://historicengland.org.uk/listing/the-list/list-entry/1031858","TQ 38636 76738",538636,176738,"heritage-at-risk",NA,7501489,"2021-12-01",NA,"MULTIPOLYGON (((-0.005237 51.472621,-0.005254 51.472641,-0.005273 51.472621,-0.005237 51.472621)))","Conduit Head, Hyde Vale",16,"POINT(-0.005255 51.472628)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/57923",NA,NA,NA,NA,NA
"1031864","10349","Former Lambeth Waterworks uncovered coalstore including tower and attached tunnels","II","8/21/2002 12:00:00 AM","","0.909722222","https://historicengland.org.uk/listing/the-list/list-entry/1031864","TQ 17266 67270",517266,167271,"heritage-at-risk",NA,7502464,"2022-12-21",NA,"MULTIPOLYGON (((-0.315915 51.392357,-0.315932 51.392376,-0.315950 51.392357,-0.315915 51.392357)))","Lambeth uncovered coal store including tower and attached tunnels, Portsmouth Road, Surbiton",16,"POINT(-0.315932 51.392363)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/49246",NA,NA,NA,NA,NA
"1032000","10485","WHALEY'S","II*","4/27/1987 12:00:00 AM","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1032000","TM3393282463",633932,282463,"heritage-at-risk",NA,7502481,"2024-09-26",NA,"MULTIPOLYGON (((1.436591 52.390188,1.436574 52.390208,1.436554 52.390189,1.436591 52.390188)))","Whaley's, St James' Road",16,"POINT(1.436573 52.390195)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/58031",NA,NA,NA,NA,NA
"1032081","10565","CHURCH OF ST ANDREW","I","4/17/1986 12:00:00 AM","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1032081","TM 48630 88591",648630,288591,"heritage-at-risk",NA,7502265,"2024-09-26",NA,"MULTIPOLYGON (((1.656682 52.438702,1.656665 52.438722,1.656645 52.438703,1.656682 52.438702)))","Church of St Andrew, Church Road",16,"POINT(1.656664 52.438709)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/16112",NA,NA,NA,NA,NA
"1032100","10584","CHURCH OF ST MARGARET","II*","09/01/1953 00:00","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1032100","TM 44792 81610",644792,281610,"heritage-at-risk",NA,7502482,"2024-09-26",NA,"MULTIPOLYGON (((1.595235 52.377796,1.595218 52.377816,1.595198 52.377797,1.595235 52.377796)))","Church of St Margaret, Stoven",16,"POINT(1.595217 52.377803)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/20978",NA,NA,NA,NA,NA
"1032132","10616","MOAT FARMHOUSE","II*","09/01/1953 00:00","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1032132","TM 42804 85145",642804,285145,"heritage-at-risk",NA,7502913,"2024-09-26",NA,"MULTIPOLYGON (((1.568648 52.410398,1.568631 52.410418,1.568612 52.410399,1.568648 52.410398)))","Moat Farmhouse, Shadingfield",16,"POINT(1.568630 52.410405)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/48674",NA,NA,NA,NA,NA
"1032497","10981","CHURCH OF ST ANDREW","II*","7/29/1955 12:00:00 AM","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1032497","TM 18638 70721",618638,270721,"heritage-at-risk",NA,7502266,"2021-12-01",NA,"MULTIPOLYGON (((1.204581 52.291107,1.204564 52.291127,1.204544 52.291108,1.204581 52.291107)))","Church of St Andrew, Church Road",16,"POINT(1.204563 52.291114)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/23327",NA,NA,NA,NA,NA
"1032540","11024","CHURCH OF ST MARY","II*","7/29/1955 12:00:00 AM","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1032540","TM 21033 72446",621033,272446,"heritage-at-risk",NA,7502267,"2021-12-01",NA,"MULTIPOLYGON (((1.240771 52.305633,1.240754 52.305653,1.240734 52.305634,1.240771 52.305633)))","Church of St Mary, The Street",16,"POINT(1.240753 52.305640)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/17558",NA,NA,NA,NA,NA
"1032763","11247","CHURCH OF ST MARGARET","I","7/29/1955 12:00:00 AM","11/17/1987 12:00:00 AM","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1032763","TM 11657 76451",611657,276451,"heritage-at-risk",NA,7502255,"2024-09-26",NA,"MULTIPOLYGON (((1.105984 52.345277,1.105967 52.345297,1.105948 52.345278,1.105984 52.345277)))","Church of St Margaret, Little Green",16,"POINT(1.105966 52.345284)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/22622",NA,NA,NA,NA,NA
"1032794","11278","CHURCH OF ALL SAINTS","II*","7/29/1955 12:00:00 AM","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1032794","TM 13461 77857",613461,277857,"heritage-at-risk",NA,7502256,"2021-12-01",NA,"MULTIPOLYGON (((1.133318 52.357200,1.133302 52.357220,1.133282 52.357201,1.133318 52.357200)))","Church of All Saints, Church Lane",16,"POINT(1.133301 52.357207)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/14169",NA,NA,NA,NA,NA
"1032854","11337","CHURCH OF ALL SAINTS","II*","7/29/1955 12:00:00 AM","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1032854","TM 23191 73980",623191,273980,"heritage-at-risk",NA,7502495,"2024-09-26",NA,"MULTIPOLYGON (((1.273386 52.318530,1.273369 52.318550,1.273349 52.318531,1.273386 52.318530)))","Church of All Saints, Church Street",16,"POINT(1.273368 52.318537)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/14168",NA,NA,NA,NA,NA
"1032889","11372","CHURCH OF ST ANDREW","I","7/29/1955 12:00:00 AM","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1032889","TM 23004 76812",623004,276812,"heritage-at-risk",NA,7505142,"2024-09-26",NA,"MULTIPOLYGON (((1.272524 52.344025,1.272507 52.344045,1.272487 52.344026,1.272524 52.344025)))","Church of St Andrew, Church Road",16,"POINT(1.272506 52.344032)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/13736",NA,NA,NA,NA,NA
"1033114","11595","CHURCH OF ST MARY","I","7/29/1955 12:00:00 AM","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1033114","TM 12097 73897",612097,273897,"heritage-at-risk",NA,7502257,"2024-09-26",NA,"MULTIPOLYGON (((1.110824 52.322179,1.110807 52.322199,1.110787 52.322180,1.110824 52.322179)))","Church of St Mary, Church Lane",16,"POINT(1.110806 52.322186)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/14173",NA,NA,NA,NA,NA
"1033241","11721","GRAND STAIRS AND GROTTO 50 METRES WEST OF SHRUBLAND HALL","II*","3/26/1987 12:00:00 AM","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1033241","TM 12518 52534",612518,252534,"heritage-at-risk",NA,7505143,"2024-09-26",NA,"MULTIPOLYGON (((1.103581 52.130236,1.103564 52.130256,1.103544 52.130237,1.103581 52.130236)))","Grand Stairs and Grotto 50 metres west of Shrubland Hall",16,"POINT(1.103563 52.130243)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/58925",NA,NA,NA,NA,NA
"1033252","11732","SHRUBLAND HALL, INCLUDING ATTACHED SCREEN WALLING ON EAST SIDE, AND TERRACES AND BALUSTRADING ON SOUTH AND WEST SIDES","II*","12/09/1955 00:00","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1033252","TM 12631 52505",612631,252505,"heritage-at-risk",NA,7505144,"2024-09-26",NA,"MULTIPOLYGON (((1.105211 52.129932,1.105194 52.129952,1.105174 52.129933,1.105211 52.129932)))","Shrubland Hall, including attached Screen Walling on east Side, and Terraces and Balustrading on south and west Sides",16,"POINT(1.105193 52.129939)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/58935",NA,NA,NA,NA,NA
"1033297","11777","CHURCH OF ST PETER","II","04/08/1983 00:00","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1033297","SJ 70340 10033",370340,310033,"heritage-at-risk",NA,7502258,"2024-09-26",NA,"MULTIPOLYGON (((-2.440198 52.687176,-2.440217 52.687196,-2.440235 52.687176,-2.440198 52.687176)))","Church of St Peter, Church Road",16,"POINT(-2.440217 52.687183)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/18993",NA,NA,NA,NA,NA
"1033860","12338","NONSUCH HOUSE","II*","3/19/1962 12:00:00 AM","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1033860","ST 96196 66036",396196,166036,"heritage-at-risk",NA,7505145,"2024-09-26",NA,"MULTIPOLYGON (((-2.056037 51.393340,-2.056055 51.393359,-2.056073 51.393340,-2.056037 51.393340)))","Nonsuch House",16,"POINT(-2.056055 51.393346)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/59377",NA,NA,NA,NA,NA
"1034135","12613","Church of St Nicholas","II*","8/22/1966 12:00:00 AM","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1034135","SU 28133 78068",428133,178068,"heritage-at-risk",NA,7502269,"2024-09-26",NA,"MULTIPOLYGON (((-1.596064 51.500848,-1.596081 51.500867,-1.596100 51.500848,-1.596064 51.500848)))","Church of St Nicholas",16,"POINT(-1.596082 51.500854)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/16867",NA,NA,NA,NA,NA
