Heritage Category,List Entry Number
 Scheduled Monument,1007736
 Scheduled Monument,1007770
 Scheduled Monument,1007817
 Scheduled Monument,1007818
 Scheduled Monument,1006963
 Scheduled Monument,1007002
 Scheduled Monument,1007047
 Scheduled Monument,1007061
 Scheduled Monument,1007072
 Scheduled Monument,1007120
 Scheduled Monument,1007127
 Scheduled Monument,1007129
 Scheduled Monument,1007170
 Scheduled Monument,1007195
 Scheduled Monument,1007247
 Scheduled Monument,1007261
 Scheduled Monument,1007272
 Scheduled Monument,1007279
 Scheduled Monument,1007397
 Scheduled Monument,1007422
 Scheduled Monument,1007436
 Scheduled Monument,1007438
 Scheduled Monument,1007440
 Scheduled Monument,1007563
 Scheduled Monument,1007779
 Scheduled Monument,1007815
 Scheduled Monument,1006955
 Scheduled Monument,1007003
 Scheduled Monument,1007037
 Scheduled Monument,1007139
 Scheduled Monument,1007144
 Scheduled Monument,1007171
 Scheduled Monument,1007296
 Scheduled Monument,1007323
 Scheduled Monument,1007353
 Scheduled Monument,1007389
 Scheduled Monument,1007421
 Scheduled Monument,1007437
 Scheduled Monument,1007446
 Scheduled Monument,1007453
 Scheduled Monument,1007505
 Scheduled Monument,1007573
 Scheduled Monument,1007596
 Scheduled Monument,1007603
 Scheduled Monument,1007648
 Scheduled Monument,1006975
 Scheduled Monument,1006989
 Scheduled Monument,1007023
 Scheduled Monument,1007076
 Scheduled Monument,1007090
 Scheduled Monument,1007126
 Scheduled Monument,1007142
 Scheduled Monument,1007143
 Scheduled Monument,1007260
 Scheduled Monument,1007293
 Scheduled Monument,1007325
 Scheduled Monument,1007474
 Scheduled Monument,1007475
 Scheduled Monument,1007476
 Scheduled Monument,1007477
 Scheduled Monument,1007491
 Scheduled Monument,1007525
 Scheduled Monument,1007641
 Scheduled Monument,1007642
 Scheduled Monument,1007725
 Scheduled Monument,1007742
 Scheduled Monument,1007743
 Scheduled Monument,1007744
 Scheduled Monument,1007745
 Scheduled Monument,1007776
 Scheduled Monument,1007842
 Scheduled Monument,1007850
 Scheduled Monument,1007851
 Scheduled Monument,1007852
 Scheduled Monument,1007853
 Scheduled Monument,1007869
 Scheduled Monument,1007883
 Scheduled Monument,1008101
 Scheduled Monument,1008135
 Scheduled Monument,1008221
 Scheduled Monument,1008337
 Scheduled Monument,1008351
 Scheduled Monument,1008486
 Scheduled Monument,1008503
 Scheduled Monument,1008554
 Scheduled Monument,1008636
 Scheduled Monument,1008638
 Scheduled Monument,1008639
 Scheduled Monument,1007847
 Scheduled Monument,1007854
 Scheduled Monument,1007856
 Scheduled Monument,1007906
 Scheduled Monument,1007922
 Scheduled Monument,1007949
 Scheduled Monument,1007972
 Scheduled Monument,1008047
 Scheduled Monument,1008292
 Scheduled Monument,1008392
 Scheduled Monument,1008474
 Scheduled Monument,1008481
 Scheduled Monument,1008483
 Scheduled Monument,1008506
 Scheduled Monument,1008626
 Scheduled Monument,1008631
 Scheduled Monument,1008651
 Scheduled Monument,1008656
 Scheduled Monument,1008676
 Scheduled Monument,1008788
 Scheduled Monument,1008839
 Scheduled Monument,1008923
 Scheduled Monument,1008954
 Scheduled Monument,1008973
 Scheduled Monument,1009088
 Scheduled Monument,1009155
 Scheduled Monument,1009572
 Scheduled Monument,1009605
 Scheduled Monument,1007858
 Scheduled Monument,1007859
 Scheduled Monument,1007860
 Scheduled Monument,1007861
 Scheduled Monument,1007875
 Scheduled Monument,1007878
 Scheduled Monument,1008043
 Scheduled Monument,1008109
 Scheduled Monument,1008129
 Scheduled Monument,1008144
 Scheduled Monument,1008146
 Scheduled Monument,1008162
 Scheduled Monument,1008179
 Scheduled Monument,1008229
 Scheduled Monument,1008245
 Scheduled Monument,1008362
 Scheduled Monument,1008396
 Scheduled Monument,1008430
 Scheduled Monument,1008528
 Scheduled Monument,1008563
 Scheduled Monument,1008679
 Scheduled Monument,1008694
 Scheduled Monument,1008711
 Scheduled Monument,1009740
 Scheduled Monument,1009773
 Scheduled Monument,1009806
 Scheduled Monument,1009807
 Scheduled Monument,1009872
 Scheduled Monument,1009891
 Scheduled Monument,1010025
 Scheduled Monument,1010040
 Scheduled Monument,1010074
 Scheduled Monument,1010140
 Scheduled Monument,1010176
 Conservation Area,NA
 Conservation Area,NA
 Scheduled Monument,1008765
 Scheduled Monument,1008810
 Scheduled Monument,1008876
 Scheduled Monument,1008933
 Scheduled Monument,1008958
 Scheduled Monument,1008974
 Scheduled Monument,1009067
 Scheduled Monument,1009383
 Scheduled Monument,1009394
 Scheduled Monument,1009578
 Scheduled Monument,1008929
 Scheduled Monument,1009329
 Scheduled Monument,1009346
 Scheduled Monument,1009380
 Scheduled Monument,1009564
 Scheduled Monument,1009580
 Scheduled Monument,1009582
 Scheduled Monument,1009631
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Registered Park and Garden grade II,1000129
 Scheduled Monument,1009731
 Scheduled Monument,1009783
 Scheduled Monument,1009830
 Registered Park and Garden grade II,1000215
 Registered Park and Garden grade II*,1000249
 Registered Park and Garden grade II,1000333
 Registered Park and Garden grade II*,1000365
 Registered Park and Garden grade II,1000413
 Registered Park and Garden grade II*,1000414
 Registered Park and Garden grade II,1000530
 Registered Park and Garden grade II*,1000547
 Registered Park and Garden grade I,1000817
 Registered Park and Garden grade II,1000899
 Registered Park and Garden grade II*,1000901
 Registered Park and Garden grade II*,1000916
 Registered Park and Garden grade II,1000951
 Registered Park and Garden grade II*,1000982
 Registered Park and Garden grade II*,1001001
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Registered Battlefield,1000003
 Protected Wreck Site,1000088
 Registered Park and Garden grade II,1000124
 Registered Park and Garden grade II,1000137
 Registered Park and Garden grade II,1001202
 Registered Park and Garden grade I,1001265
 Registered Park and Garden grade II,1001268
 Registered Park and Garden grade II,1001368
 Registered Park and Garden grade II,1001401
 Registered Park and Garden grade II,1001469
 Registered Park and Garden grade II,1001484
 Registered Park and Garden grade I,1001585
 Registered Park and Garden grade II,1001602
 Scheduled Monument,1001735
 Scheduled Monument,1001852
 Scheduled Monument,1001885
 Registered Park and Garden grade I,1000155
 Registered Park and Garden grade II,1000205
 Registered Park and Garden grade II,1000257
 Registered Park and Garden grade II,1000305
 Registered Park and Garden grade I,1000338
 Registered Park and Garden grade II*,1000373
 Registered Park and Garden grade II*,1000390
 Registered Park and Garden grade II*,1000472
 Registered Park and Garden grade II,1000739
 Registered Park and Garden grade II*,1000808
 Registered Park and Garden grade II*,1000824
 Registered Park and Garden grade II*,1000924
 Registered Park and Garden grade II*,1000993
 Scheduled Monument,1002001
 Scheduled Monument,1002134
 Scheduled Monument,1002254
 Scheduled Monument,1002271
 Scheduled Monument,1002301
 Scheduled Monument,1002337
 Scheduled Monument,1002438
 Scheduled Monument,1002487
 Scheduled Monument,1002502
 Scheduled Monument,1002505
 Scheduled Monument,1002520
 Scheduled Monument,1002522
 Scheduled Monument,1002536
 Scheduled Monument,1002537
 Scheduled Monument,1002586
 Scheduled Monument,1002620
 Scheduled Monument,1002636
 Scheduled Monument,1002637
 Scheduled Monument,1002654
 Scheduled Monument,1002687
 Scheduled Monument,1002703
 Scheduled Monument,1002705
 Scheduled Monument,1002719
 Scheduled Monument,1002722
 Scheduled Monument,1002756
 Scheduled Monument,1002786
 Scheduled Monument,1009669
 Scheduled Monument,1009676
 Scheduled Monument,1009703
 Scheduled Monument,1009785
 Scheduled Monument,1009835
 Scheduled Monument,1009953
 Scheduled Monument,1009994
 Scheduled Monument,1010060
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Scheduled Monument,1002805
 Scheduled Monument,1002836
 Scheduled Monument,1002870
 Scheduled Monument,1002939
 Scheduled Monument,1002953
 Scheduled Monument,1002955
 Scheduled Monument,1002990
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Registered Park and Garden grade II*,1001074
 Registered Park and Garden grade II*,1001142
 Registered Park and Garden grade II,1001160
 Registered Park and Garden grade II,1001341
 Registered Park and Garden grade II,1001343
 Registered Park and Garden grade II*,1001494
 Registered Park and Garden grade II,1001643
 Scheduled Monument,1001758
 Scheduled Monument,1001778
 Scheduled Monument,1001794
 Scheduled Monument,1001808
 Scheduled Monument,1001810
 Scheduled Monument,1001861
 Scheduled Monument,1001862
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Scheduled Monument,1001942
 Scheduled Monument,1001976
 Scheduled Monument,1002042
 Scheduled Monument,1002043
 Scheduled Monument,1002044
 Scheduled Monument,1002079
 Scheduled Monument,1002126
 Scheduled Monument,1002144
 Scheduled Monument,1002146
 Scheduled Monument,1002161
 Scheduled Monument,1002193
 Scheduled Monument,1002280
 Scheduled Monument,1002296
 Scheduled Monument,1002361
 Scheduled Monument,1002394
 Scheduled Monument,1002397
 Scheduled Monument,1002412
 Scheduled Monument,1002463
 Scheduled Monument,1002496
 Scheduled Monument,1002529
 Scheduled Monument,1002544
 Scheduled Monument,1002596
 Scheduled Monument,1002613
 Scheduled Monument,1002614
 Scheduled Monument,1002630
 Scheduled Monument,1002645
 Scheduled Monument,1002664
 Scheduled Monument,1002696
 Scheduled Monument,1002713
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Scheduled Monument,1002795
 Scheduled Monument,1002812
 Scheduled Monument,1002814
 Scheduled Monument,1002828
 Scheduled Monument,1002845
 Scheduled Monument,1002865
 Scheduled Monument,1002878
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Registered Battlefield,1000000
 Registered Battlefield,1000025
 Registered Park and Garden grade II*,1000377
 Registered Park and Garden grade II,1000379
 Registered Park and Garden grade II*,1000395
 Registered Park and Garden grade II,1000402
 Registered Park and Garden grade II*,1000404
 Registered Park and Garden grade II,1000420
 Registered Park and Garden grade II,1000484
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Registered Park and Garden grade II,1000738
 Registered Park and Garden grade II,1000761
 Registered Park and Garden grade II*,1000852
 Registered Park and Garden grade II*,1000886
 Registered Park and Garden grade I,1000927
 Registered Park and Garden grade II*,1001022
 Registered Park and Garden grade II*,1001052
 Registered Park and Garden grade II*,1001077
 Registered Park and Garden grade II,1001145
 Registered Park and Garden grade II,1001213
 Registered Park and Garden grade II,1001429
 Registered Park and Garden grade II,1001440
 Registered Park and Garden grade II,1001447
 Registered Park and Garden grade II,1001465
 Registered Park and Garden grade II,1001490
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Scheduled Monument,1013908
 Scheduled Monument,1013943
 Scheduled Monument,1014042
 Scheduled Monument,1014112
 Scheduled Monument,1014144
 Registered Park and Garden grade II*,1001529
 Scheduled Monument,1001731
 Scheduled Monument,1001738
 Scheduled Monument,1001747
 Scheduled Monument,1001849
 Scheduled Monument,1001856
 Scheduled Monument,1001940
 Scheduled Monument,1001963
 Scheduled Monument,1001988
 Scheduled Monument,1002006
 Scheduled Monument,1002024
 Scheduled Monument,1002092
 Scheduled Monument,1002242
 Scheduled Monument,1002315
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Scheduled Monument,1013901
 Scheduled Monument,1013918
 Scheduled Monument,1013952
 Scheduled Monument,1013953
 Scheduled Monument,1013969
 Scheduled Monument,1013970
 Scheduled Monument,1014103
 Scheduled Monument,1002424
 Scheduled Monument,1002456
 Scheduled Monument,1002531
 Scheduled Monument,1002558
 Scheduled Monument,1002583
 Scheduled Monument,1002585
 Scheduled Monument,1002601
 Scheduled Monument,1002615
 Scheduled Monument,1002665
 Scheduled Monument,1002667
 Scheduled Monument,1002710
 Scheduled Monument,1002715
 Scheduled Monument,1002724
 Scheduled Monument,1002751
 Scheduled Monument,1002767
 Scheduled Monument,1002774
 Scheduled Monument,1002783
 Scheduled Monument,1002810
 Scheduled Monument,1002817
 Scheduled Monument,1002824
 Scheduled Monument,1002849
 Scheduled Monument,1002851
 Scheduled Monument,1002860
 Scheduled Monument,1002874
 Scheduled Monument,1002933
 Scheduled Monument,1013904
 Scheduled Monument,1013913
 Scheduled Monument,1013954
 Scheduled Monument,1014031
 Scheduled Monument,1014083
 Scheduled Monument,1014244
 Scheduled Monument,1014430
 Scheduled Monument,1014444
 Scheduled Monument,1014477
 Scheduled Monument,1014544
 Scheduled Monument,1014547
 Scheduled Monument,1014662
 Scheduled Monument,1014663
 Scheduled Monument,1014664
 Scheduled Monument,1014679
 Scheduled Monument,1014680
 Scheduled Monument,1014727
 Scheduled Monument,1014761
 Scheduled Monument,1014763
 Scheduled Monument,1014811
 Scheduled Monument,1014830
 Scheduled Monument,1014831
 Scheduled Monument,1014846
 Scheduled Monument,1014847
 Scheduled Monument,1014895
 Scheduled Monument,1015031
 Scheduled Monument,1014284
 Scheduled Monument,1014304
 Scheduled Monument,1014469
 Scheduled Monument,1014488
 Scheduled Monument,1014503
 Scheduled Monument,1014572
 Scheduled Monument,1014586
 Scheduled Monument,1014688
 Scheduled Monument,1014736
 Scheduled Monument,1014738
 Scheduled Monument,1014789
 Scheduled Monument,1014819
 Scheduled Monument,1014854
 Scheduled Monument,1014855
 Scheduled Monument,1014987
 Scheduled Monument,1014989
 Scheduled Monument,1015037
 Scheduled Monument,1015145
 Scheduled Monument,1015182
 Scheduled Monument,1015196
 Scheduled Monument,1015212
 Scheduled Monument,1015329
 Scheduled Monument,1015330
 Scheduled Monument,1015332
 Scheduled Monument,1015463
 Scheduled Monument,1015547
 Scheduled Monument,1015614
 Scheduled Monument,1015630
 Scheduled Monument,1015649
 Scheduled Monument,1015663
 Scheduled Monument,1015697
 Scheduled Monument,1015700
 Scheduled Monument,1015766
 Scheduled Monument,1015767
 Scheduled Monument,1015797
 Scheduled Monument,1015814
 Scheduled Monument,1015831
 Scheduled Monument,1015848
 Scheduled Monument,1015897
 Scheduled Monument,1015898
 Scheduled Monument,1015899
 Scheduled Monument,1014240
 Scheduled Monument,1014247
 Scheduled Monument,1014256
 Scheduled Monument,1014431
 Scheduled Monument,1014433
 Scheduled Monument,1014440
 Scheduled Monument,1014465
 Scheduled Monument,1014467
 Scheduled Monument,1014481
 Scheduled Monument,1014501
 Scheduled Monument,1014565
 Scheduled Monument,1014606
 Scheduled Monument,1014665
 Scheduled Monument,1014717
 Scheduled Monument,1014758
 Scheduled Monument,1014783
 Scheduled Monument,1014792
 Scheduled Monument,1014817
 Scheduled Monument,1014826
 Scheduled Monument,1014849
 Scheduled Monument,1014876
 Scheduled Monument,1014990
 Scheduled Monument,1014994
 Scheduled Monument,1015017
 Scheduled Monument,1015035
 Scheduled Monument,1015049
 Scheduled Monument,1015051
 Scheduled Monument,1015142
 Scheduled Monument,1015167
 Scheduled Monument,1015217
 Scheduled Monument,1015278
 Scheduled Monument,1015333
 Scheduled Monument,1015378
 Scheduled Monument,1015476
 Scheduled Monument,1015576
 Scheduled Monument,1015594
 Scheduled Monument,1015610
 Scheduled Monument,1015678
 Scheduled Monument,1015760
 Scheduled Monument,1015778
 Scheduled Monument,1015785
 Scheduled Monument,1015803
 Scheduled Monument,1015810
 Scheduled Monument,1015828
 Scheduled Monument,1015894
 Scheduled Monument,1015901
 Scheduled Monument,1015937
 Scheduled Monument,1015976
 Scheduled Monument,1015994
 Scheduled Monument,1016012
 Scheduled Monument,1016019
 Scheduled Monument,1016085
 Scheduled Monument,1016189
 Scheduled Monument,1016203
 Scheduled Monument,1016214
 Scheduled Monument,1016246
 Scheduled Monument,1016253
 Scheduled Monument,1016255
 Scheduled Monument,1016271
 Scheduled Monument,1016305
 Scheduled Monument,1016378
 Scheduled Monument,1016414
 Scheduled Monument,1016444
 Scheduled Monument,1016489
 Scheduled Monument,1016539
 Scheduled Monument,1016553
 Scheduled Monument,1016564
 Scheduled Monument,1016630
 Scheduled Monument,1016707
 Scheduled Monument,1016728
 Scheduled Monument,1016737
 Scheduled Monument,1016787
 Scheduled Monument,1015900
 Scheduled Monument,1015931
 Scheduled Monument,1015947
 Scheduled Monument,1016014
 Scheduled Monument,1016031
 Scheduled Monument,1016066
 Scheduled Monument,1016100
 Scheduled Monument,1016182
 Scheduled Monument,1016183
 Scheduled Monument,1016184
 Scheduled Monument,1016248
 Scheduled Monument,1016250
 Scheduled Monument,1016281
 Scheduled Monument,1016283
 Scheduled Monument,1016383
 Scheduled Monument,1016516
 Scheduled Monument,1016517
 Scheduled Monument,1016618
 Scheduled Monument,1016619
 Scheduled Monument,1016632
 Scheduled Monument,1016635
 Scheduled Monument,1016650
 Scheduled Monument,1016651
 Scheduled Monument,1016652
 Scheduled Monument,1016685
 Scheduled Monument,1016846
 Scheduled Monument,1016916
 Scheduled Monument,1016955
 Scheduled Monument,1017041
 Scheduled Monument,1017082
 Scheduled Monument,1017132
 Scheduled Monument,1017139
 Scheduled Monument,1017173
 Scheduled Monument,1017200
 Scheduled Monument,1017266
 Scheduled Monument,1017307
 Scheduled Monument,1017355
 Scheduled Monument,1017455
 Scheduled Monument,1017457
 Scheduled Monument,1017464
 Scheduled Monument,1017582
 Scheduled Monument,1017609
 Scheduled Monument,1017632
 Scheduled Monument,1017682
 Scheduled Monument,1017689
 Scheduled Monument,1017693
 Scheduled Monument,1017748
 Scheduled Monument,1017775
 Scheduled Monument,1017952
 Scheduled Monument,1017977
 Scheduled Monument,1010180
 Scheduled Monument,1010221
 Scheduled Monument,1010355
 Scheduled Monument,1010398
 Scheduled Monument,1010412
 Scheduled Monument,1010414
 Scheduled Monument,1010439
 Scheduled Monument,1010496
 Scheduled Monument,1010621
 Scheduled Monument,1015086
 Scheduled Monument,1015157
 Scheduled Monument,1015187
 Scheduled Monument,1015190
 Scheduled Monument,1015203
 Scheduled Monument,1015290
 Scheduled Monument,1015387
 Scheduled Monument,1015440
 Scheduled Monument,1015471
 Scheduled Monument,1015474
 Scheduled Monument,1015491
 Scheduled Monument,1015504
 Scheduled Monument,1015522
 Scheduled Monument,1015541
 Scheduled Monument,1015557
 Scheduled Monument,1015622
 Scheduled Monument,1015641
 Scheduled Monument,1015656
 Scheduled Monument,1015689
 Scheduled Monument,1015791
 Scheduled Monument,1015792
 Scheduled Monument,1015824
 Scheduled Monument,1015922
 Scheduled Monument,1016040
 Scheduled Monument,1016041
 Scheduled Monument,1016089
 Scheduled Monument,1016091
 Scheduled Monument,1016092
 Scheduled Monument,1016173
 Scheduled Monument,1016191
 Scheduled Monument,1016208
 Scheduled Monument,1016273
 Scheduled Monument,1016276
 Scheduled Monument,1016323
 Scheduled Monument,1016423
 Scheduled Monument,1016427
 Scheduled Monument,1016490
 Scheduled Monument,1016491
 Scheduled Monument,1016509
 Scheduled Monument,1016643
 Scheduled Monument,1016677
 Scheduled Monument,1016693
 Scheduled Monument,1010798
 Scheduled Monument,1010839
 Scheduled Monument,1010891
 Scheduled Monument,1010946
 Scheduled Monument,1010948
 Scheduled Monument,1010964
 Scheduled Monument,1011048
 Scheduled Monument,1011107
 Scheduled Monument,1011125
 Scheduled Monument,1011248
 Scheduled Monument,1011273
 Scheduled Monument,1011432
 Scheduled Monument,1011514
 Scheduled Monument,1011616
 Scheduled Monument,1011691
 Scheduled Monument,1011693
 Scheduled Monument,1011716
 Scheduled Monument,1011718
 Scheduled Monument,1011766
 Scheduled Monument,1011784
 Scheduled Monument,1011793
 Scheduled Monument,1011900
 Scheduled Monument,1011909
 Scheduled Monument,1012027
 Scheduled Monument,1012032
 Scheduled Monument,1012041
 Scheduled Monument,1012043
 Scheduled Monument,1012057
 Scheduled Monument,1012066
 Scheduled Monument,1012091
 Scheduled Monument,1012100
 Scheduled Monument,1012111
 Scheduled Monument,1012150
 Scheduled Monument,1012152
 Scheduled Monument,1012175
 Scheduled Monument,1012193
 Scheduled Monument,1012268
 Scheduled Monument,1012293
 Scheduled Monument,1012316
 Scheduled Monument,1012352
 Scheduled Monument,1012461
 Scheduled Monument,1012477
 Scheduled Monument,1012484
 Scheduled Monument,1012502
 Scheduled Monument,1012620
 Scheduled Monument,1012629
 Scheduled Monument,1012693
 Scheduled Monument,1012768
 Scheduled Monument,1012920
 Scheduled Monument,1012995
 Scheduled Monument,1013002
 Scheduled Monument,1013068
 Scheduled Monument,1013295
 Scheduled Monument,1013438
 Scheduled Monument,1016843
 Scheduled Monument,1016975
 Scheduled Monument,1016976
 Scheduled Monument,1016977
 Scheduled Monument,1017061
 Scheduled Monument,1017226
 Scheduled Monument,1017229
 Scheduled Monument,1017261
 Scheduled Monument,1017262
 Scheduled Monument,1017277
 Scheduled Monument,1017311
 Scheduled Monument,1017460
 Scheduled Monument,1017462
 Scheduled Monument,1017477
 Scheduled Monument,1017563
 Scheduled Monument,1017594
 Scheduled Monument,1017612
 Scheduled Monument,1017643
 Scheduled Monument,1017646
 Scheduled Monument,1017647
 Scheduled Monument,1013456
 Scheduled Monument,1013590
 Scheduled Monument,1013629
 Scheduled Monument,1013654
 Scheduled Monument,1013672
 Scheduled Monument,1013681
 Scheduled Monument,1013688
 Scheduled Monument,1013690
 Scheduled Monument,1013745
 Scheduled Monument,1013756
 Scheduled Monument,1013788
 Scheduled Monument,1013804
 Scheduled Monument,1013865
 Scheduled Monument,1013881
 Scheduled Monument,1017694
 Scheduled Monument,1017697
 Scheduled Monument,1017711
 Scheduled Monument,1017764
 Scheduled Monument,1017779
 Scheduled Monument,1017880
 Scheduled Monument,1017963
 Scheduled Monument,1017979
 Scheduled Monument,1010323
 Scheduled Monument,1010343
 Scheduled Monument,1010494
 Scheduled Monument,1010625
 Scheduled Monument,1010626
 Scheduled Monument,1010758
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
 Conservation Area,NA
